id,NUM_CONTRATOS,NOM_MUN,COLOR,lat,lon,NUM_CONTRATOS_FORMATTED
03001,2245,ADSUBIA,3.351216345339342,38.85903129265297,-0.16873256834171546,"2,245"
03002,11907,AGOST,4.075802353626826,38.44231955714517,-0.6416513509079855,"11,907"
03003,1787,AGRES,3.252124552505644,38.786914711172464,-0.5119316075508187,"1,787"
03004,691,AIGÜES,2.8394780473741985,38.51006673306047,-0.36332943684018015,691
03005,50672,ALBATERA,4.704768046027837,38.21594346763317,-0.8918707786450092,"50,672"
03006,941,ALCALALI,2.973589623427257,38.75588333704487,-0.03099096609896058,941
03007,477,ALCOCER DE PLANES,2.678518379040114,38.79507693112009,-0.40063691808220697,477
03008,415,ALCOLEJA,2.6180480967120925,38.664893313585274,-0.3274623801042827,415
03009,142351,ALCOY/ALCOI,5.153360522364298,38.68227952237131,-0.51658089505172,"142,351"
03010,632,ALFAFARA,2.800717078282385,38.780872339709695,-0.5637426528940608,632
03011,43300,"ALFAS DEL PI, L'",4.636487896353366,38.57832984212703,-0.08871023734973958,"43,300"
03012,7130,ALGORFA,3.8530895298518657,38.06405609064895,-0.7866831190378654,"7,130"
03013,3773,ALGUEÑA,3.5766868052009957,38.343592021600614,-1.004072904973018,"3,773"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.16112685344754,-0.4766524375217561,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.161225167191496,-0.4592426514536156,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.161823086753174,-0.4749910294928088,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.16134267519667,-0.4747342928186673,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.16263847971321,-0.4643126969983664,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.16252580166902,-0.4720902143242915,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.16677765916575,-0.4861942900770248,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.52866890081991,-0.3852353402117027,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.36973534473713,-0.5474109841976275,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.469635343383054,-0.47896131820023097,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.16476728894091,-0.4744459504639644,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.16586277359189,-0.4846656235548723,"1,306,857"
03014,1306857,ALICANTE/ALACANT,6.116228068446197,38.166212887442015,-0.47712328374611784,"1,306,857"
03015,47901,ALMORADI,4.680344580010567,38.033221703560564,-0.786226459641595,"47,901"
03015,47901,ALMORADI,4.680344580010567,38.099671230625184,-0.7952277542230864,"47,901"
03016,464,ALMUDAINA,2.6665179805548807,38.764179314514635,-0.3578221078279765,464
03017,1872,"ALQUERIA D'ASNAR, L'",3.2723058444020863,38.77619278202545,-0.4047366773474164,"1,872"
03017,1872,"ALQUERIA D'ASNAR, L'",3.2723058444020863,38.76561671742975,-0.4125835173976631,"1,872"
03017,1872,"ALQUERIA D'ASNAR, L'",3.2723058444020863,38.77190277287342,-0.42288889942471125,"1,872"
03018,52303,ALTEA,4.718526599882179,38.62402524678593,-0.014065072059994924,"52,303"
03018,52303,ALTEA,4.718526599882179,38.61688790598588,-0.01957383010679,"52,303"
03018,52303,ALTEA,4.718526599882179,38.625339159554755,-0.047245079299205496,"52,303"
03019,49276,ASPE,4.692635446550164,38.329661946690734,-0.7854869296969847,"49,276"
03020,99,BALONES,1.99563519459755,38.744141086809776,-0.33320563020784727,99
03021,19908,BANYERES DE MARIOLA,4.299027632071986,38.70548944952342,-0.677875836439895,"19,908"
03022,377,BENASAU,2.576341350205793,38.695737383959994,-0.3378831183943467,377
03023,6980,BENEIXAMA,3.843855422623161,38.72217382281841,-0.7605996615632558,"6,980"
03024,17937,BENEJUZAR,4.253749808139813,38.073670622102384,-0.8319497650603951,"17,937"
03025,2159,BENFERRI,3.334252642334231,38.1517703641603,-0.9831256396653288,"2,159"
03026,3008,BENIARBEIG,3.4782778319196046,38.81755450310986,-0.011582548962575327,"3,008"
03027,215,BENIARDA,2.3324384599156054,38.69604500554298,-0.2142822391208228,215
03028,828,BENIARRES,2.9180303367848803,38.825624239287336,-0.36308970687677244,828
03029,247,BENIGEMBLA,2.392696953259666,38.74686758540577,-0.11580651724176243,247
03030,1622,BENIDOLEIG,3.2100508498751372,38.792290801591875,-0.027007727401267896,"1,622"
03031,423194,BENIDORM,5.626539501689314,38.50240690566375,-0.13057773273518222,"423,194"
03031,423194,BENIDORM,5.626539501689314,38.53688332242901,-0.07256586990980796,"423,194"
03031,423194,BENIDORM,5.626539501689314,38.55500724955779,-0.12889607754415164,"423,194"
03032,105,BENIFALLIM,2.0211892990699383,38.65496047708609,-0.41166651350335615,105
03033,163,BENIFATO,2.2121876044039577,38.6602795802931,-0.24125346259422006,163
03034,5219,BENIJOFAR,3.7175872968554606,38.07492192905299,-0.7408668145359768,"5,219"
03035,557,BENILLOBA,2.745855195173729,38.70568372610771,-0.3956960713501998,557
03036,107,BENILLUP,2.0293837776852097,38.75635936319381,-0.37996168722036894,107
03037,1083,BENIMANTELL,3.0346284566253203,38.64562834013382,-0.20262450643023028,"1,083"
03038,1398,BENIMARFULL,3.1455071714096627,38.775334326345316,-0.39155089304020957,"1,398"
03039,86,BENIMASSOT,1.9344984512435677,38.75384791488903,-0.2987510874810136,86
